"","indicator","","","","",""
"","private","","subsidized","","Total",""
"","b","ci95","b","ci95","b","ci95"
"0","13.96476","11.38803,16.54149","13.17826","9.218758,17.13777","13.77954","11.36945,16.18964"
"1","21.57056","17.08369,26.05743","17.23916","12.2507,22.22762","20.55052","16.48593,24.61512"
"2","34.81322","30.03793,39.58852","27.65001","23.55853,31.74149","33.12629","29.71676,36.53583"
"3","14.6458","11.90409,17.38751","12.06085","9.488651,14.63305","14.03705","11.95227,16.12182"
"4","4.413888","2.857402,5.970373","10.14929","7.015169,13.28342","5.764571","4.194941,7.334202"
"5","2.28745","1.054337,3.520563","3.632381","2.210935,5.053828","2.60418","1.628289,3.580072"
"6","4.977369","3.563683,6.391055","7.380371","4.331958,10.42879","5.543274","4.037567,7.048981"
"7","1.536668",".5017224,2.571615","2.842455","1.277274,4.407635","1.84418",".911557,2.776803"
"8","1.790277",".7139812,2.866573","5.867211","3.484082,8.250339","2.750392","1.887625,3.613159"
"Total","100",".,.","100",".,.","100",".,."
"N","2562","","","","",""
"F_Pear","6.016659","","","","",""
"p_Pear",".0000903","","","","",""
